sektori,zaplata,year,month
obshto,202,2000,1
selsko,154,2000,1
dobiwna,316,2000,1
prerabodwashta,201,2000,1
energiq i woda,405,2000,1
stroitelstwo,167,2000,1
tyrgowiq,170,2000,1
hoteli,138,2000,1
transport,252,2000,1
finansi,370,2000,1
imoti,213,2000,1
dyrvawnouprawlenie,238,2000,1
obrazowanie,168,2000,1
zdraweopazwane,158,2000,1
drugi,160,2000,1
obshto,206,2000,2
selsko,160,2000,2
dobiwna,323,2000,2
prerabodwashta,205,2000,2
energiq i woda,401,2000,2
stroitelstwo,179,2000,2
tyrgowiq,176,2000,2
hoteli,141,2000,2
transport,252,2000,2
finansi,371,2000,2
imoti,217,2000,2
dyrvawnouprawlenie,236,2000,2
obrazowanie,170,2000,2
zdraweopazwane,160,2000,2
drugi,163,2000,2
obshto,220,2000,3
selsko,171,2000,3
dobiwna,413,2000,3
prerabodwashta,214,2000,3
energiq i woda,454,2000,3
stroitelstwo,193,2000,3
tyrgowiq,184,2000,3
hoteli,150,2000,3
transport,271,2000,3
finansi,390,2000,3
imoti,226,2000,3
dyrvawnouprawlenie,261,2000,3
obrazowanie,179,2000,3
zdraweopazwane,170,2000,3
drugi,171,2000,3
obshto,221,2000,4
selsko,172,2000,4
dobiwna,341,2000,4
prerabodwashta,213,2000,4
energiq i woda,449,2000,4
stroitelstwo,196,2000,4
tyrgowiq,182,2000,4
hoteli,161,2000,4
transport,266,2000,4
finansi,492,2000,4
imoti,226,2000,4
dyrvawnouprawlenie,265,2000,4
obrazowanie,189,2000,4
zdraweopazwane,174,2000,4
drugi,182,2000,4
obshto,228,2000,5
selsko,175,2000,5
dobiwna,354,2000,5
prerabodwashta,215,2000,5
energiq i woda,419,2000,5
stroitelstwo,200,2000,5
tyrgowiq,181,2000,5
hoteli,167,2000,5
transport,268,2000,5
finansi,409,2000,5
imoti,229,2000,5
dyrvawnouprawlenie,266,2000,5
obrazowanie,248,2000,5
zdraweopazwane,177,2000,5
drugi,187,2000,5
obshto,225,2000,6
selsko,182,2000,6
dobiwna,386,2000,6
prerabodwashta,220,2000,6
energiq i woda,436,2000,6
stroitelstwo,203,2000,6
tyrgowiq,187,2000,6
hoteli,152,2000,6
transport,278,2000,6
finansi,407,2000,6
imoti,236,2000,6
dyrvawnouprawlenie,265,2000,6
obrazowanie,187,2000,6
zdraweopazwane,174,2000,6
drugi,197,2000,6
obshto,222,2000,7
selsko,196,2000,7
dobiwna,356,2000,7
prerabodwashta,219,2000,7
energiq i woda,409,2000,7
stroitelstwo,205,2000,7
tyrgowiq,179,2000,7
hoteli,144,2000,7
transport,269,2000,7
finansi,425,2000,7
imoti,234,2000,7
dyrvawnouprawlenie,287,2000,7
obrazowanie,184,2000,7
zdraweopazwane,170,2000,7
drugi,189,2000,7
obshto,221,2000,8
selsko,177,2000,8
dobiwna,358,2000,8
prerabodwashta,220,2000,8
energiq i woda,410,2000,8
stroitelstwo,207,2000,8
tyrgowiq,177,2000,8
hoteli,143,2000,8
transport,267,2000,8
finansi,423,2000,8
imoti,236,2000,8
dyrvawnouprawlenie,273,2000,8
obrazowanie,184,2000,8
zdraweopazwane,177,2000,8
drugi,192,2000,8
obshto,234,2000,9
selsko,181,2000,9
dobiwna,405,2000,9
prerabodwashta,230,2000,9
energiq i woda,459,2000,9
stroitelstwo,210,2000,9
tyrgowiq,183,2000,9
hoteli,145,2000,9
transport,285,2000,9
finansi,442,2000,9
imoti,248,2000,9
dyrvawnouprawlenie,290,2000,9
obrazowanie,213,2000,9
zdraweopazwane,178,2000,9
drugi,195,2000,9
obshto,224,2000,10
selsko,189,2000,10
dobiwna,361,2000,10
prerabodwashta,219,2000,10
energiq i woda,421,2000,10
stroitelstwo,212,2000,10
tyrgowiq,181,2000,10
hoteli,138,2000,10
transport,272,2000,10
finansi,418,2000,10
imoti,245,2000,10
dyrvawnouprawlenie,273,2000,10
obrazowanie,189,2000,10
zdraweopazwane,179,2000,10
drugi,191,2000,10
obshto,234,2000,11
selsko,180,2000,11
dobiwna,387,2000,11
prerabodwashta,225,2000,11
energiq i woda,439,2000,11
stroitelstwo,218,2000,11
tyrgowiq,182,2000,11
hoteli,134,2000,11
transport,272,2000,11
finansi,466,2000,11
imoti,256,2000,11
dyrvawnouprawlenie,314,2000,11
obrazowanie,212,2000,11
zdraweopazwane,201,2000,11
drugi,180,2000,11
obshto,248,2000,12
selsko,182,2000,12
dobiwna,416,2000,12
prerabodwashta,232,2000,12
energiq i woda,471,2000,12
stroitelstwo,225,2000,12
tyrgowiq,198,2000,12
hoteli,150,2000,12
transport,303,2000,12
finansi,535,2000,12
imoti,274,2000,12
dyrvawnouprawlenie,309,2000,12
obrazowanie,224,2000,12
zdraweopazwane,219,2000,12
drugi,185,2000,12
obshto,223,2001,1
selsko,173,2001,1
dobiwna,365,2001,1
prerabodwashta,219,2001,1
energiq i woda,423,2001,1
stroitelstwo,181,2001,1
tyrgowiq,165,2001,1
hoteli,145,2001,1
transport,272,2001,1
finansi,419,2001,1
imoti,210,2001,1
dyrvawnouprawlenie,283,2001,1
obrazowanie,203,2001,1
zdraweopazwane,200,2001,1
drugi,175,2001,1
obshto,221,2001,2
selsko,170,2001,2
dobiwna,359,2001,2
prerabodwashta,218,2001,2
energiq i woda,410,2001,2
stroitelstwo,180,2001,2
tyrgowiq,162,2001,2
hoteli,145,2001,2
transport,268,2001,2
finansi,419,2001,2
imoti,209,2001,2
dyrvawnouprawlenie,287,2001,2
obrazowanie,203,2001,2
zdraweopazwane,199,2001,2
drugi,172,2001,2
obshto,232,2001,3
selsko,181,2001,3
dobiwna,406,2001,3
prerabodwashta,228,2001,3
energiq i woda,452,2001,3
stroitelstwo,194,2001,3
tyrgowiq,169,2001,3
hoteli,149,2001,3
transport,286,2001,3
finansi,438,2001,3
imoti,218,2001,3
dyrvawnouprawlenie,295,2001,3
obrazowanie,204,2001,3
zdraweopazwane,202,2001,3
drugi,181,2001,3
obshto,239,2001,4
selsko,185,2001,4
dobiwna,377,2001,4
prerabodwashta,226,2001,4
energiq i woda,441,2001,4
